Division,Carline,Combined MPG,City MPG,Highway MPG,Weight (lbs.),Displacement (liters),Horsepower
Aston Martin Lagonda Ltd,Rapide S,17,14,22,4750,6,552
BMW,Z4 sDrive28i,26,22,33,3625,2,241
BMW,Z4 sDrive28i,26,22,34,3625,2,241
BMW,Z4 sDrive35is,20,17,24,3875,3,335
BMW,228i,27,23,35,3625,2,240
BMW,228i,26,22,34,3625,2,181
BMW,228i xDrive,27,23,35,3750,2,240
BMW,228i xDrive Convertible,26,22,34,4000,2,240
BMW,428i Convertible,27,23,34,4250,2,240
BMW,435i Convertible,24,20,31,4500,3,300
BMW,435i xDrive Convertible,23,20,29,4500,3,300
BMW,640i Convertible,24,20,31,4500,3,300
BMW,640i Coupe,24,20,31,4250,3,300
BMW,640i xDrive Coupe,23,20,29,4500,3,300
BMW,650i Convertible,20,17,25,4750,4.4,448
BMW,650i Coupe,20,17,25,4500,4.4,448
BMW,650i xDrive Convertible,18,15,24,5000,4.4,448
BMW,650i xDrive Coupe,19,16,25,4750,4.4,448
BMW,M235i,24,20,31,3875,3,300
BMW,M235i,22,19,28,3750,3,300
BMW,M235i Convertible,24,20,31,4000,3,300
BMW,M235i Convertible,22,19,26,4000,3,300
BMW,M235i xDrive,23,20,30,4000,3,300
BMW,M4 Convertible,19,17,24,4500,3,425
BMW,M4 Convertible,20,17,26,4250,3,425
BMW,M6 Convertible,16,14,20,4750,4.4,553
BMW,M6 Convertible,17,15,22,4750,4.4,553
Mini,MINI COOPER HARDTOP 2 DOOR,31,27,37,3000,1.5,134
Mini,MINI COOPER HARDTOP 2 DOOR,32,28,39,2875,1.5,134
Mini,MINI COOPER HARDTOP 4 DOOR,31,27,37,3125,1.5,134
Mini,MINI COOPER HARDTOP 4 DOOR,33,29,39,3000,1.5,134
Mini,MINI John Cooper Works Hardtop,28,25,31,3125,2,228
Mini,MINI John Cooper Works Hardtop,26,23,31,3125,2,228
BMW,320i,28,24,36,3625,2,181
BMW,320i,28,23,36,3625,2,180
BMW,320i xDrive,27,23,35,3750,2,181
BMW,328d xDrive,34,30,40,4000,2,181
BMW,328i,27,23,35,3750,2,240
BMW,328i,26,22,34,3625,2,241
BMW,328i xDrive,26,22,34,3875,2,240
BMW,340i,26,22,33,4000,3,320
BMW,340i,23,20,30,4000,3,320
BMW,340i xDrive,26,22,33,4000,3,320
BMW,340i xDrive,23,20,29,4000,3,320
BMW,428i Coupe,27,23,35,3750,2,241
BMW,428i Coupe,26,22,34,3750,2,181
BMW,428i Gran Coupe,27,23,34,3875,2,240
BMW,428i xDrive Gran Coupe,26,22,34,4000,2,240
BMW,435i Coupe,24,20,31,3875,3,300
BMW,435i Coupe,23,20,30,3875,3,300
BMW,435i Gran Coupe,24,20,31,4000,3,300
BMW,435i xDrive Coupe,23,20,30,4000,3,300
BMW,435i xDrive Coupe,22,19,28,4000,3,300
BMW,435i xDrive Gran Coupe,23,20,30,4250,3,300
BMW,M3,19,17,24,3875,3,425
BMW,M3,20,17,26,3875,3,425
BMW,M4 Coupe,19,17,24,3875,3,425
Mini,Mini Cooper Countryman,27,25,30,3375,1.6,122
Mini,Mini Cooper Countryman,29,27,32,3250,1.6,122
Mini,Mini Cooper S Countryman,28,25,32,3375,1.6,180
Mini,Mini Cooper S Countryman,29,26,32,3375,1.6,180
Mini,Mini Cooper S Countryman All4,26,23,30,3500,1.6,180
Mini,Mini Cooper S Countryman All4,27,25,31,3500,1.6,180
BMW,528i,27,23,34,4000,2,241
BMW,528i xDrive,26,22,34,4250,2,241
BMW,535i,24,20,31,4500,3,300
BMW,535i xDrive,23,20,29,4500,3,300
BMW,550i,20,17,25,4500,4.4,443
BMW,550i xDrive,19,16,25,4750,4.4,443
BMW,ActiveHybrid 5,26,23,30,4750,3,300
BMW,M5,16,14,20,4750,4.4,553
BMW,M5,17,15,22,4750,4.4,553
Mini,Mini Cooper Clubman,28,25,34,3500,1.5,134
Mini,Mini Cooper Clubman,28,25,35,3375,1.5,134
Mini,Mini Cooper S Clubman,27,24,34,3625,2,189
Mini,Mini Cooper S Clubman,26,22,32,3500,2,189
BMW,328i xDrive Gran Turismo,26,22,34,4250,2,240
BMW,335i xDrive Gran Turismo,23,20,30,4250,3,300
BMW,535i Gran Turismo,22,19,28,5250,3,300
BMW,535i xDrive Gran Turismo,21,18,26,5250,3,300
BMW,740i,24,21,29,4500,3,320
BMW,750i xDrive,19,16,25,5000,4.4,443
BMW,X1 xDrive28i,26,22,32,4000,2,228
BMW,328i xDrive Sports Wagon,26,22,34,4000,2,181
BMW,X3 xDrive28i,24,21,28,4250,2,241
BMW,X3 xDrive35i,22,19,27,4500,3,300
BMW,X4 xDrive35i,22,19,27,4500,3,300
BMW,X5 sDrive35i,21,18,25,5000,3,300
BMW,X6 sDrive35i,21,18,25,5000,3,300
BMW,X5 M,16,14,19,5500,4.4,567
BMW,X5 xDrive35i,20,18,24,5000,3,300
BMW,X5 xDrive50i,17,15,21,5500,4.4,443
BMW,X6 xDrive35i,20,18,24,5000,3,300
BMW,X6 xDrive50i,17,15,21,5500,4.4,443
FIAT,500,27,24,32,2750,1.4,100
FIAT,500,30,28,34,2625,1.4,100
FIAT,500 Abarth,27,24,32,3000,1.4,160
FIAT,500 Abarth,30,28,34,2750,1.4,160
Chrysler,200,28,23,36,3750,2.4,184
Chrysler,200 AWD,22,18,29,4000,3.6,295
Dodge,Challenger,23,19,30,4500,3.6,470
Dodge,Challenger,18,15,23,4500,5.7,470
Dodge,Challenger SRT8,16,13,22,4750,6.2,707
Dodge,Challenger SRT8,16,13,21,4750,6.2,707
Dodge,Dart,31,27,37,3500,1.4,158
Dodge,Dart,29,25,36,3500,2,160
Chrysler,300,23,19,31,4250,3.6,292
Chrysler,300 AWD,21,18,27,4750,3.6,359
Dodge,Charger,23,19,31,4250,3.6,292
Dodge,Charger AWD,21,18,27,4500,3.6,292
FIAT,500L,25,22,30,3500,1.4,160
FIAT,500L,28,25,33,3500,1.4,160
RAM,1500 4X4,22,19,27,6000,3,240
RAM,Promaster City,24,21,29,3750,2.4,184
Chrysler,Town & Country,20,17,25,4750,3.6,283
Dodge,Journey,21,19,26,4500,2.4,283
FIAT,500X,28,25,34,3250,1.4,160
Jeep,Cherokee FWD,25,22,31,4000,2.4,184
Jeep,Compass FWD,24,22,26,3500,2,172
Jeep,Renegade 4x2,27,24,31,3375,1.4,160
Jeep,Renegade 4x2,25,22,31,3500,2.4,180
FIAT,500X AWD,24,21,30,3625,2.4,180
Jeep,Cherokee 4X4,24,21,28,4250,2.4,184
Jeep,Cherokee 4x4 Active Drive II,23,21,27,4500,2.4,271
Jeep,Cherokee Trailhawk 4X4,22,19,25,4500,2.4,271
Jeep,Compass 4X4,22,20,26,3625,2.4,172
Jeep,Renegade 4x4,27,24,31,3500,1.4,160
Jeep,Renegade 4x4,24,21,29,3625,2.4,180
"Ferrari North America, Inc.",488 GTB,18,15,22,4000,3.9,661
"Ferrari North America, Inc.",California T,19,16,23,4500,3.9,553
"Ferrari North America, Inc.",FF,13,11,17,4750,6.3,652
Ford,MUSTANG,25,21,32,3875,2.3,300
Ford,MUSTANG,25,22,31,4000,2.3,420
Ford,FUSION AWD,25,22,31,4000,2,237
Ford,FUSION FWD,28,24,36,3750,1.5,175
Lincoln,MKZ AWD,25,22,31,4250,2,305
Ford,Transit T150 Wagon FFV,16,14,18,6000,3.7,275
Ford,TRANSIT CONNECT VAN FFV,23,20,28,3875,2.5,169
Ford,TRANSIT CONNECT WAGON LWB FFV,22,19,27,4250,2.5,169
Ford,ESCAPE FWD,26,23,32,3875,1.6,237
Lincoln,MKX FWD,21,17,26,4750,2.7,325
Ford,ESCAPE AWD,25,22,29,4000,1.6,170
Lincoln,MKX AWD,19,17,24,5000,2.7,325
Ford,EXPLORER FWD,22,19,28,4750,2.3,275
Ford,EXPLORER AWD,21,18,26,5000,2.3,275
Chevrolet,CORVETTE,16,13,23,3625,6.2,455
Chevrolet,CORVETTE,18,15,22,3625,6.2,450
Chevrolet,SPARK,34,30,41,2625,1.4,84
Buick,VERANO,24,21,30,3750,2,180
Buick,VERANO,24,20,31,3875,2,250
Cadillac,ATS,26,22,31,3750,2,272
Cadillac,ATS,23,20,29,3750,2,272
Cadillac,ATS AWD,25,22,30,3875,2,272
Cadillac,ATS-V,19,17,23,4000,3.6,455
Chevrolet,CAMARO,23,19,28,3750,3.6,335
Chevrolet,CAMARO,21,18,27,3750,3.6,335
Chevrolet,SONIC,31,27,37,3125,1.4,138
Chevrolet,SONIC,33,29,40,3000,1.4,138
Chevrolet,SONIC RS,30,27,34,3125,1.4,138
Buick,LACROSSE,29,25,36,4000,2.4,182
Buick,LACROSSE AWD,20,17,26,4500,3.6,303
Buick,REGAL,24,21,30,4000,2,182
