Subject,Condition,UsesBrick:Control,Helpful:Control,,Subject,Condition,UsesBrick:Rude,Helpful:Rude
1,Control,1,2,,54,Rude,4,0
2,Control,24,3,,55,Rude,11,9
3,Control,5,5,,56,Rude,18,4
4,Control,16,8,,57,Rude,11,15
5,Control,21,6,,58,Rude,9,0
6,Control,7,9,,59,Rude,6,0
7,Control,20,5,,60,Rude,5,0
8,Control,1,3,,61,Rude,11,1
9,Control,9,5,,62,Rude,9,0
10,Control,20,14,,63,Rude,12,5
11,Control,19,7,,64,Rude,7,1
12,Control,10,12,,65,Rude,5,1
13,Control,23,10,,66,Rude,7,0
14,Control,16,10,,67,Rude,3,1
15,Control,0,13,,68,Rude,11,4
16,Control,4,9,,69,Rude,1,1
17,Control,9,15,,70,Rude,9,2
18,Control,13,3,,71,Rude,11,1
19,Control,17,8,,72,Rude,10,1
20,Control,13,9,,73,Rude,7,0
21,Control,0,13,,74,Rude,8,0
22,Control,2,7,,75,Rude,9,0
23,Control,12,11,,76,Rude,10,0
24,Control,11,7,,77,Rude,7,0
25,Control,7,1,,78,Rude,11,7
26,Control,1,15,,79,Rude,4,0
27,Control,19,1,,80,Rude,13,0
28,Control,9,3,,81,Rude,5,11
29,Control,12,12,,82,Rude,4,1
30,Control,18,0,,83,Rude,7,0
31,Control,5,7,,84,Rude,8,3
32,Control,21,8,,85,Rude,3,1
33,Control,30,5,,86,Rude,8,0
34,Control,15,10,,87,Rude,15,0
35,Control,4,9,,88,Rude,9,0
36,Control,2,9,,89,Rude,16,1
37,Control,12,8,,90,Rude,10,5
38,Control,11,3,,91,Rude,0,0
39,Control,10,5,,92,Rude,7,0
40,Control,13,7,,93,Rude,15,4
41,Control,11,11,,94,Rude,13,3
42,Control,3,6,,95,Rude,9,6
43,Control,6,10,,96,Rude,2,3
44,Control,10,16,,97,Rude,13,1
45,Control,13,8,,98,Rude,10,1
46,Control,16,9,,,,,
47,Control,12,13,,,,,
48,Control,28,7,,,,,
49,Control,19,0,,,,,
50,Control,12,10,,,,,
51,Control,20,11,,,,,
52,Control,3,12,,,,,
53,Control,11,12,,,,,
